"label","campaign","case_id","fork_start_s","active_updates","baseline_net_hp","candidate_net_hp","delta_final_net_hp","req_minus_bt_n_first_m","req_minus_bt_n_median_m","req_minus_bt_n_last_m","req_minus_bt_e_first_m","req_minus_bt_e_median_m","req_minus_bt_e_last_m","req_minus_bt_u_first_m","req_minus_bt_u_median_m","req_minus_bt_u_last_m","baseline_roll_cmd_median","candidate_roll_cmd_median","roll_cmd_delta_mean","baseline_pitch_cmd_median","candidate_pitch_cmd_median","pitch_cmd_delta_mean","baseline_rudder_cmd_median","candidate_rudder_cmd_median","rudder_cmd_delta_mean","baseline_throttle_cmd_median","candidate_throttle_cmd_median","throttle_cmd_delta_mean","baseline_telemetry_sha256","candidate_telemetry_sha256"
"fixed_success","CV019_TELEMETRY_FIXED_SUCCESS","t178p60_pure","178.6","30","0.02732960209678703","0.04415255128623574","0.01682294918944871","104.4443359375","122.847412109375","127.48095703125","73.2978515625","29.01318359375","-6.19921875","5.970458984375","-4.138671875","-20.10595703125","-0.035833828151226044","-0.031879033893346786","0.03483806708827615","-1.0","-1.0","0.06817348549763362","0.6620406806468964","0.5613168478012085","-0.1844960182905197","1.0","1.0","-0.0009906252225240072","875E7B96280C5A65DCA17FCE4BAE843BA822DC266B7548C03E256C781F2DE02F","11FF1FFBEED185A380183D55464B277BCF8A3C257F7779CB7BAC2C3977967E15"
"random_s2_failure","CV020_TELEMETRY_RANDOM_S2_FAILURE","t192p78_pure","192.78","30","0.00704531055300317","0.0","-0.00704531055300317","-100.681640625","-76.669921875","-49.3046875","113.3359375","153.720703125","182.916015625","-73.072021484375","-82.907958984375","-93.6826171875","-0.04778047278523445","-0.0029367153765633702","0.12403981631220327","-1.0","-1.0","0.1264209267993768","0.7779037356376648","0.56683748960495","-0.30737741440534594","1.0","1.0","-0.0040000081062316895","5C27C08264289AAEF5DA6F2F4B541D054C382EEC4CF2C420FFDB659A0193F79F","89C61ED04FC06252D39D6727B77EEA002A82FB9B4C3E39F9CE84D567C5B00D24"
