"candidate","cases","positive_h3","median_h3_delta_net_hp","worst_h3_delta_net_hp","positive_h5","median_h5_delta_net_hp","worst_h5_delta_net_hp","positive_h10","median_h10_delta_net_hp","worst_h10_delta_net_hp","positive_final","median_final_delta_net_hp","worst_final_delta_net_hp","robust_all_3_5_10_final"
"down","5","0","-0.008420450041253358","-0.01983282351042437","0","-0.008420450041253358","-0.01983282351042437","0","-0.008420450041253358","-0.01983282351042437","1","-0.00704531055300317","-0.018733128219615924","0"
"lead","5","0","-0.008420450041253358","-0.01983282351042437","0","-0.003840984110534462","-0.014232122374481793","0","-0.003840984110534462","-0.014232122374481793","4","0.007487902837684524","-0.00704531055300317","0"
"pure","12","3","-0.0015217485430292776","-0.12155247009794612","4","-0.0011502867717491094","-0.5547449064657957","3","-0.0020738009524971512","-0.6263903658507377","5","-0.004745286638390245","-0.6543627789080372","2"
"up","15","1","-0.009722579785813368","-0.01983282351042437","2","-0.009722579785813368","-0.01983282351042437","2","-0.009722579785813368","-0.01983282351042437","6","-0.005707835199132316","-0.016443861493094736","1"
