iteration,sampled_steps,stage,probe,probe_step,obs_first4,action_roll,action_pitch,action_rudder,action_throttle,action_norm,action_delta_norm,state_in_norm,state_out_norm
0,0,0,zero_hold,0,"[0.0, 0.0, 0.0, 0.0]",-0.015585497952997684,0.039447296410799026,-0.035503603518009186,-0.03152238577604294,0.06366445869207382,0.0,,
0,0,0,zero_hold,1,"[0.0, 0.0, 0.0, 0.0]",-0.015585497952997684,0.039447296410799026,-0.035503603518009186,-0.03152238577604294,0.06366445869207382,0.0,,
0,0,0,zero_hold,2,"[0.0, 0.0, 0.0, 0.0]",-0.015585497952997684,0.039447296410799026,-0.035503603518009186,-0.03152238577604294,0.06366445869207382,0.0,,
0,0,0,zero_hold,3,"[0.0, 0.0, 0.0, 0.0]",-0.015585497952997684,0.039447296410799026,-0.035503603518009186,-0.03152238577604294,0.06366445869207382,0.0,,
0,0,0,target_ahead,0,"[0.0, 0.0, 0.0, 0.0]",-0.0055284202098846436,0.030461125075817108,-0.08182746917009354,0.0005848854780197144,0.08749011158943176,0.0,,
0,0,0,target_ahead,1,"[0.009999999776482582, 0.0, 0.0, 0.0]",-0.005106447264552116,0.030939821153879166,-0.0815848782658577,0.0008746813982725143,0.08740827441215515,0.0007416488952003419,,
0,0,0,target_ahead,2,"[0.019999999552965164, 0.0, 0.0, 0.0]",-0.004686271771788597,0.03139296919107437,-0.08137189596891403,0.0012139063328504562,0.08735181391239166,0.000736427609808743,,
0,0,0,target_ahead,3,"[0.029999999329447746, 0.0, 0.0, 0.0]",-0.004243332892656326,0.03188808262348175,-0.08111661672592163,0.0015764329582452774,0.08727683126926422,0.0007987021817825735,,
0,0,0,target_left,0,"[0.0, 0.0, 0.0, 0.0]",-0.028773516416549683,0.07979506999254227,-0.0498276948928833,-0.02649107202887535,0.10188103467226028,0.0,,
0,0,0,target_left,1,"[0.009999999776482582, 0.0, 0.0, 0.0]",-0.0287243090569973,0.08031276613473892,-0.04944726079702377,-0.026239264756441116,0.10202331840991974,0.0006917858263477683,,
0,0,0,target_left,2,"[0.019999999552965164, 0.0, 0.0, 0.0]",-0.028675109148025513,0.08083043992519379,-0.04906683415174484,-0.025987427681684494,0.10217006504535675,0.0006917753489688039,,
0,0,0,target_left,3,"[0.029999999329447746, 0.0, 0.0, 0.0]",-0.028592132031917572,0.08133479952812195,-0.04870843142271042,-0.025754015892744064,0.10231637209653854,0.0006664813263341784,,
0,0,0,ramp,0,"[-0.5, -0.4333333373069763, -0.36666667461395264, -0.30000001192092896]",-0.022899622097611427,0.024457711726427078,-0.03632766753435135,-0.04821541905403137,0.06904345005750656,0.0,,
0,0,0,ramp,1,"[-0.47999998927116394, -0.41333332657814026, -0.3466666638851166, -0.2800000011920929]",-0.023160576820373535,0.027277648448944092,-0.03893747180700302,-0.048058271408081055,0.07145772874355316,0.0038543371483683586,,
0,0,0,ramp,2,"[-0.46000000834465027, -0.3933333456516266, -0.3266666829586029, -0.2600000202655792]",-0.023909704759716988,0.030687812715768814,-0.04222262650728226,-0.04794952645897865,0.07480189204216003,0.004795256070792675,,
0,0,0,ramp,3,"[-0.4399999976158142, -0.3733333349227905, -0.30666667222976685, -0.24000000953674316]",-0.02477142959833145,0.03379961848258972,-0.045369647443294525,-0.04785734787583351,0.07813301682472229,0.004509782884269953,,
10,10,0,zero_hold,0,"[0.0, 0.0, 0.0, 0.0]",-0.015585497952997684,0.039447296410799026,-0.035503603518009186,-0.03152238577604294,0.06366445869207382,0.0,,
10,10,0,zero_hold,1,"[0.0, 0.0, 0.0, 0.0]",-0.015585497952997684,0.039447296410799026,-0.035503603518009186,-0.03152238577604294,0.06366445869207382,0.0,,
10,10,0,zero_hold,2,"[0.0, 0.0, 0.0, 0.0]",-0.015585497952997684,0.039447296410799026,-0.035503603518009186,-0.03152238577604294,0.06366445869207382,0.0,,
10,10,0,zero_hold,3,"[0.0, 0.0, 0.0, 0.0]",-0.015585497952997684,0.039447296410799026,-0.035503603518009186,-0.03152238577604294,0.06366445869207382,0.0,,
10,10,0,target_ahead,0,"[0.0, 0.0, 0.0, 0.0]",-0.0055284202098846436,0.030461125075817108,-0.08182746917009354,0.0005848854780197144,0.08749011158943176,0.0,,
10,10,0,target_ahead,1,"[0.009999999776482582, 0.0, 0.0, 0.0]",-0.005106447264552116,0.030939821153879166,-0.0815848782658577,0.0008746813982725143,0.08740827441215515,0.0007416488952003419,,
10,10,0,target_ahead,2,"[0.019999999552965164, 0.0, 0.0, 0.0]",-0.004686271771788597,0.03139296919107437,-0.08137189596891403,0.0012139063328504562,0.08735181391239166,0.000736427609808743,,
10,10,0,target_ahead,3,"[0.029999999329447746, 0.0, 0.0, 0.0]",-0.004243332892656326,0.03188808262348175,-0.08111661672592163,0.0015764329582452774,0.08727683126926422,0.0007987021817825735,,
10,10,0,target_left,0,"[0.0, 0.0, 0.0, 0.0]",-0.028773516416549683,0.07979506999254227,-0.0498276948928833,-0.02649107202887535,0.10188103467226028,0.0,,
10,10,0,target_left,1,"[0.009999999776482582, 0.0, 0.0, 0.0]",-0.0287243090569973,0.08031276613473892,-0.04944726079702377,-0.026239264756441116,0.10202331840991974,0.0006917858263477683,,
10,10,0,target_left,2,"[0.019999999552965164, 0.0, 0.0, 0.0]",-0.028675109148025513,0.08083043992519379,-0.04906683415174484,-0.025987427681684494,0.10217006504535675,0.0006917753489688039,,
10,10,0,target_left,3,"[0.029999999329447746, 0.0, 0.0, 0.0]",-0.028592132031917572,0.08133479952812195,-0.04870843142271042,-0.025754015892744064,0.10231637209653854,0.0006664813263341784,,
10,10,0,ramp,0,"[-0.5, -0.4333333373069763, -0.36666667461395264, -0.30000001192092896]",-0.022899622097611427,0.024457711726427078,-0.03632766753435135,-0.04821541905403137,0.06904345005750656,0.0,,
10,10,0,ramp,1,"[-0.47999998927116394, -0.41333332657814026, -0.3466666638851166, -0.2800000011920929]",-0.023160576820373535,0.027277648448944092,-0.03893747180700302,-0.048058271408081055,0.07145772874355316,0.0038543371483683586,,
10,10,0,ramp,2,"[-0.46000000834465027, -0.3933333456516266, -0.3266666829586029, -0.2600000202655792]",-0.023909704759716988,0.030687812715768814,-0.04222262650728226,-0.04794952645897865,0.07480189204216003,0.004795256070792675,,
10,10,0,ramp,3,"[-0.4399999976158142, -0.3733333349227905, -0.30666667222976685, -0.24000000953674316]",-0.02477142959833145,0.03379961848258972,-0.045369647443294525,-0.04785734787583351,0.07813301682472229,0.004509782884269953,,
