campaign,case_id,candidate,seed,opponent,randomized_start,fork_start_s,fork_duration_s,lead_time_s,vertical_offset_m,prefix_ok,dll_sha256,rule_sha256,replay_stamp,own_los_az_deg,own_los_el_deg,own_lift_to_los_deg,target_los_az_deg,target_los_el_deg,target_lift_to_los_deg,own_los_az_rate_dps,own_los_el_rate_dps,target_los_az_rate_dps,target_los_el_rate_dps,phase,range_m,own_ata_deg,target_ata_deg,relative_heading_deg,closure_mps,altitude_delta_m,own_altitude_m,target_altitude_m,own_floor_margin_m,target_floor_margin_m,own_speed_mps,target_speed_mps,speed_delta_mps,own_vertical_speed_mps,target_vertical_speed_mps,own_turn_rate_dps,target_turn_rate_dps,energy_height_delta_m,own_roll_deg,own_pitch_deg,target_roll_deg,target_pitch_deg,own_health,target_health,health_advantage,final_net_hp,delta_final_net_hp,h3s_dealt_hp,h3s_delta_dealt_hp,h3s_taken_hp,h3s_delta_taken_hp,h3s_net_hp,h3s_delta_net_hp,h5s_dealt_hp,h5s_delta_dealt_hp,h5s_taken_hp,h5s_delta_taken_hp,h5s_net_hp,h5s_delta_net_hp,h10s_dealt_hp,h10s_delta_dealt_hp,h10s_taken_hp,h10s_delta_taken_hp,h10s_net_hp,h10s_delta_net_hp,h20s_dealt_hp,h20s_delta_dealt_hp,h20s_taken_hp,h20s_delta_taken_hp,h20s_net_hp,h20s_delta_net_hp
CV021_RESIDUAL_BASELINE_FIXED,t178p60_bt_down10_d3,bt_down,0,ACE,False,178.6,3.0,2.0,10.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_43_9,-3.930552527187186,38.6919040269636,51.3080959730364,179.11403772160335,39.97861447560154,50.02138552439847,2.7812275834809146,-10.920593926400437,-7.542107663847875,21.46926792689223,P3,1012.4387109261605,38.85986259897095,140.01321691832328,9.652391045157481,-53.30168378627687,295.3137095999996,2874.6078144000003,3169.921524,2574.6078144000003,2869.921524,279.2890742526804,269.4924175362039,-9.796656716476491,72.1522560000035,43.52848799999967,17.06000000000086,-16.130000000000912,21.202576470359872,89.152,17.317,-108.325,7.699,0.9954632701840651,0.9794519411465403,0.01601132903752478,0.026605967360228244,-0.000723634736558787,0.009089816073992285,0.0006693660327389273,0.0,0.0,0.009089816073992285,0.0006693660327389273,0.009089816073992285,0.0006693660327389273,0.0,0.0,0.009089816073992285,0.0006693660327389273,0.009089816073992285,0.0006693660327389273,0.0,0.0,0.009089816073992285,0.0006693660327389273,0.010594638322703465,-0.000723634736558787,0.0,0.0,0.010594638322703465,-0.000723634736558787
CV021_RESIDUAL_BASELINE_FIXED,t178p60_bt_up10_d3,bt_up,0,ACE,False,178.6,3.0,2.0,10.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_42_29,-3.930552527187186,38.6919040269636,51.3080959730364,179.11403772160335,39.97861447560154,50.02138552439847,2.7812275834809146,-10.920593926400437,-7.542107663847875,21.46926792689223,P3,1012.4387109261605,38.85986259897095,140.01321691832328,9.652391045157481,-53.30168378627687,295.3137095999996,2874.6078144000003,3169.921524,2574.6078144000003,2869.921524,279.2890742526804,269.4924175362039,-9.796656716476491,72.1522560000035,43.52848799999967,17.06000000000086,-16.130000000000912,21.202576470359872,89.152,17.317,-108.325,7.699,0.9954632701840651,0.9794519411465403,0.01601132903752478,0.026537608587649975,-0.0007919935091370567,0.006817756185645174,-0.0016026938556081838,0.0,0.0,0.006817756185645174,-0.0016026938556081838,0.006817756185645174,-0.0016026938556081838,0.0,0.0,0.006817756185645174,-0.0016026938556081838,0.006817756185645174,-0.0016026938556081838,0.0,0.0,0.006817756185645174,-0.0016026938556081838,0.010526279550125195,-0.0007919935091370567,0.0,0.0,0.010526279550125195,-0.0007919935091370567
CV022_RESIDUAL_RANDOM_S2,t192p78_bt_down10_d3,bt_down,2,ACE,True,192.78,3.0,2.0,10.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_40_35,-4.197108291498376,38.99865282827782,51.00134717172218,-169.4476374686945,36.41011937123347,53.58988062876654,2.3796815876906683,-10.737755872199674,0.313673231047957,20.746807070061777,P3,1030.491474410749,39.18802690328101,142.2957666574082,8.053005512725974,-62.55289283662805,236.47572720000016,2841.8463864,3078.3221136,2541.8463864,2778.3221136,283.15062541992387,280.8825461658643,-2.2680792540595576,20.610575999994442,8.317991999995611,16.139999999996373,-15.83999999999643,171.25101054981178,83.505,7.63,-97.456,0.458,1.0,1.0,0.0,0.006199937371175301,-0.0008453731818278687,0.006199937371175301,-0.0008453731818278687,0.0,0.0,0.006199937371175301,-0.0008453731818278687,0.006199937371175301,-0.0008453731818278687,0.0,0.0,0.006199937371175301,-0.0008453731818278687,0.006199937371175301,-0.0008453731818278687,0.0,0.0,0.006199937371175301,-0.0008453731818278687,0.006199937371175301,-0.0008453731818278687,0.0,0.0,0.006199937371175301,-0.0008453731818278687
CV022_RESIDUAL_RANDOM_S2,t192p78_bt_down50_d3,bt_down,2,ACE,True,192.78,3.0,2.0,50.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_38_8,-4.197108291498376,38.99865282827782,51.00134717172218,-169.4476374686945,36.41011937123347,53.58988062876654,2.3796815876906683,-10.737755872199674,0.313673231047957,20.746807070061777,P3,1030.491474410749,39.18802690328101,142.2957666574082,8.053005512725974,-62.55289283662805,236.47572720000016,2841.8463864,3078.3221136,2541.8463864,2778.3221136,283.15062541992387,280.8825461658643,-2.2680792540595576,20.610575999994442,8.317991999995611,16.139999999996373,-15.83999999999643,171.25101054981178,83.505,7.63,-97.456,0.458,1.0,1.0,0.0,0.0,-0.00704531055300317,0.0,-0.00704531055300317,0.0,0.0,0.0,-0.00704531055300317,0.0,-0.00704531055300317,0.0,0.0,0.0,-0.00704531055300317,0.0,-0.00704531055300317,0.0,0.0,0.0,-0.00704531055300317,0.0,-0.00704531055300317,0.0,0.0,0.0,-0.00704531055300317
CV022_RESIDUAL_RANDOM_S2,t192p78_bt_up10_d3,bt_up,2,ACE,True,192.78,3.0,2.0,10.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_41_13,-4.197108291498376,38.99865282827782,51.00134717172218,-169.4476374686945,36.41011937123347,53.58988062876654,2.3796815876906683,-10.737755872199674,0.313673231047957,20.746807070061777,P3,1030.491474410749,39.18802690328101,142.2957666574082,8.053005512725974,-62.55289283662805,236.47572720000016,2841.8463864,3078.3221136,2541.8463864,2778.3221136,283.15062541992387,280.8825461658643,-2.2680792540595576,20.610575999994442,8.317991999995611,16.139999999996373,-15.83999999999643,171.25101054981178,83.505,7.63,-97.456,0.458,1.0,1.0,0.0,0.00744581294188662,0.00040050238888345024,0.00744581294188662,0.00040050238888345024,0.0,0.0,0.00744581294188662,0.00040050238888345024,0.00744581294188662,0.00040050238888345024,0.0,0.0,0.00744581294188662,0.00040050238888345024,0.00744581294188662,0.00040050238888345024,0.0,0.0,0.00744581294188662,0.00040050238888345024,0.00744581294188662,0.00040050238888345024,0.0,0.0,0.00744581294188662,0.00040050238888345024
CV022_RESIDUAL_RANDOM_S2,t192p78_bt_up50_d3,bt_up,2,ACE,True,192.78,3.0,2.0,50.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_38_56,-4.197108291498376,38.99865282827782,51.00134717172218,-169.4476374686945,36.41011937123347,53.58988062876654,2.3796815876906683,-10.737755872199674,0.313673231047957,20.746807070061777,P3,1030.491474410749,39.18802690328101,142.2957666574082,8.053005512725974,-62.55289283662805,236.47572720000016,2841.8463864,3078.3221136,2541.8463864,2778.3221136,283.15062541992387,280.8825461658643,-2.2680792540595576,20.610575999994442,8.317991999995611,16.139999999996373,-15.83999999999643,171.25101054981178,83.505,7.63,-97.456,0.458,1.0,1.0,0.0,0.004354192283962832,-0.002691118269040338,0.004354192283962832,-0.002691118269040338,0.0,0.0,0.004354192283962832,-0.002691118269040338,0.004354192283962832,-0.002691118269040338,0.0,0.0,0.004354192283962832,-0.002691118269040338,0.004354192283962832,-0.002691118269040338,0.0,0.0,0.004354192283962832,-0.002691118269040338,0.004354192283962832,-0.002691118269040338,0.0,0.0,0.004354192283962832,-0.002691118269040338
CV023_RESIDUAL_RANDOM_S3_HIGH,t146p0833_bt_down10_d3,bt_down,3,ACE,True,146.0833,3.0,2.0,10.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_47_45,-5.599241022528357,31.054969700098525,58.945030299901475,-176.4925774791073,9.247929496391906,80.7520705036081,-3.994631756254648,-6.0303821040068915,17.3614889483268,23.50435960301033,P2,821.7703100522499,31.506012649466086,170.11469935721937,25.601167977443072,-61.87145419344024,358.10068079999974,2787.0869328000003,3145.1876136,2487.0869328000003,2845.1876136,268.62341327442033,259.85572000395865,-8.767693270461677,94.03384800000447,96.14611200000219,18.67000000000125,-19.760000000001114,121.8557378059977,87.802,23.582,-115.223,18.912,1.0,0.9885095231142021,0.011490476885797851,0.040177214565485286,0.0016817967083168073,0.014884487314053452,0.0012948047095213688,0.0,0.0,0.014884487314053452,0.0012948047095213688,0.014884487314053452,0.0012948047095213688,0.0,0.0,0.014884487314053452,0.0012948047095213688,0.014884487314053452,0.0012948047095213688,0.0,0.0,0.014884487314053452,0.0012948047095213688,0.01697744079878305,0.0014732740904942476,0.0,0.0,0.01697744079878305,0.0014732740904942476
CV023_RESIDUAL_RANDOM_S3_HIGH,t146p0833_bt_up10_d3,bt_up,3,ACE,True,146.0833,3.0,2.0,10.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_48_24,-5.599241022528357,31.054969700098525,58.945030299901475,-176.4925774791073,9.247929496391906,80.7520705036081,-3.994631756254648,-6.0303821040068915,17.3614889483268,23.50435960301033,P2,821.7703100522499,31.506012649466086,170.11469935721937,25.601167977443072,-61.87145419344024,358.10068079999974,2787.0869328000003,3145.1876136,2487.0869328000003,2845.1876136,268.62341327442033,259.85572000395865,-8.767693270461677,94.03384800000447,96.14611200000219,18.67000000000125,-19.760000000001114,121.8557378059977,87.802,23.582,-115.223,18.912,1.0,0.9885095231142021,0.011490476885797851,0.03977898145528269,0.0012835635981142124,0.008964949868933703,-0.00462473273559838,0.0,0.0,0.008964949868933703,-0.00462473273559838,0.008964949868933703,-0.00462473273559838,0.0,0.0,0.008964949868933703,-0.00462473273559838,0.008964949868933703,-0.00462473273559838,0.0,0.0,0.008964949868933703,-0.00462473273559838,0.01095342811298572,-0.004550738595303083,0.0,0.0,0.01095342811298572,-0.004550738595303083
CV024_RESIDUAL_RANDOM_S4_LOW,t154p8_bt_down10_d3,bt_down,4,ACE,True,154.8,3.0,2.0,10.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_50_54,-2.973137106284,31.076638997890694,58.92336100210931,-170.81386633041,13.860699656781868,76.13930034321814,0.6117250202974874,-3.9272787526851567,-3.501246091386235,29.57067002838026,P3,808.7127130432092,31.204367853331437,163.42144026402954,19.437777138071898,-66.90782896769467,174.0106248000002,2881.8227352000004,3055.8333600000005,2581.8227352000004,2755.8333600000005,285.00700213618506,286.2331781236732,1.2261759874881477,24.944831999995372,15.334487999999661,16.289999999996486,-16.69999999999636,209.723176595111,85.036,8.555,-96.289,2.092,1.0,0.862940780366966,0.13705921963303402,0.17404333204212563,0.00294928873982081,0.017091669329872827,-0.002303354754384368,0.0,0.0,0.017091669329872827,-0.002303354754384368,0.017091669329872827,-0.002303354754384368,0.0,0.0,0.017091669329872827,-0.002303354754384368,0.017091669329872827,-0.002303354754384368,0.0,0.0,0.017091669329872827,-0.002303354754384368,0.017091669329872827,-0.002303354754384368,0.0,0.0,0.017091669329872827,-0.002303354754384368
CV024_RESIDUAL_RANDOM_S4_LOW,t154p8_bt_up10_d3,bt_up,4,ACE,True,154.8,3.0,2.0,10.0,True,DA8403DB6C598883FCBB51F0250A22AFFB68EE59BE0B687D18B880ED13EFAE5A,1760A7E3EA9A50D38243F276983FCD393F5ED2067AB5FD7344ED2FCA8AC153E3,2026_8_8_15_49_44,-2.973137106284,31.076638997890694,58.92336100210931,-170.81386633041,13.860699656781868,76.13930034321814,0.6117250202974874,-3.9272787526851567,-3.501246091386235,29.57067002838026,P3,808.7127130432092,31.204367853331437,163.42144026402954,19.437777138071898,-66.90782896769467,174.0106248000002,2881.8227352000004,3055.8333600000005,2581.8227352000004,2755.8333600000005,285.00700213618506,286.2331781236732,1.2261759874881477,24.944831999995372,15.334487999999661,16.289999999996486,-16.69999999999636,209.723176595111,85.036,8.555,-96.289,2.092,1.0,0.862940780366966,0.13705921963303402,0.16690182596388914,-0.0041922173384156824,0.017915758087770794,-0.0014792659964864008,0.0,0.0,0.017915758087770794,-0.0014792659964864008,0.017915758087770794,-0.0014792659964864008,0.0,0.0,0.017915758087770794,-0.0014792659964864008,0.017915758087770794,-0.0014792659964864008,0.0,0.0,0.017915758087770794,-0.0014792659964864008,0.017915758087770794,-0.0014792659964864008,0.0,0.0,0.017915758087770794,-0.0014792659964864008
