seed,outcome,reward,steps,sim_s,end_condition,own_hp,tgt_hp,wall_s
0,DRAW,550.39,11999,200.0,max time out,0.9515643495603863,1.0,65.0
1,DRAW,552.84,11999,200.0,max time out,1.0,1.0,63.3
2,DRAW,532.06,11999,200.0,max time out,1.0,1.0,64.2
3,DRAW,510.87,11999,200.0,max time out,1.0,1.0,66.4
4,DRAW,337.26,11999,200.0,max time out,1.0,1.0,49609.2
5,DRAW,461.87,11999,200.0,max time out,1.0,1.0,39.2
6,DRAW,481.04,11999,200.0,max time out,1.0,0.7710392826253948,41.3
7,DRAW,633.72,11999,200.0,max time out,1.0,1.0,27.3
8,DRAW,409.19,11999,200.0,max time out,1.0,1.0,25.6
9,DRAW,450.28,11999,200.0,max time out,1.0,0.9666845129336508,25.3
10,DRAW,655.37,11999,200.0,max time out,1.0,0.829773084719557,27.6
11,DRAW,665.4,11999,200.0,max time out,1.0,1.0,25.4
12,DRAW,465.2,11999,200.0,max time out,1.0,0.9345310071347095,25.3
13,DRAW,493.69,11999,200.0,max time out,1.0,0.30168193682868916,26.7
14,DRAW,290.05,11999,200.0,max time out,1.0,1.0,25.0
